"","2022-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","2022-01-03_to_2024-11-04_^BSESN"
"2023-06-02",-0.644387196168861,-1.16471372480953
"2023-06-05",-0.107691832088397,-0.784901946407945
"2023-06-06",0,-0.776354240859012
"2023-06-07",0,-0.223166189840618
"2023-06-08",0,-0.688239928296541
"2023-06-09",0,-1.0406410666938
"2023-06-12",0,-0.884070293936345
"2023-06-13",0,-0.222848222675776
"2023-06-14",0,-0.0879833849063649
"2023-06-15",0,-0.579233302608984
"2023-06-16",0,0
"2023-06-19",0,0
"2023-06-20",0,0
"2023-06-21",0,0
"2023-06-22",0,0
"2023-06-23",0,0
"2023-06-26",0,0
"2023-06-27",0,0
"2023-06-28",0,0
"2023-06-30",0,0
"2023-07-07",0,0
"2023-07-10",0,0
"2023-07-14",0,0
"2023-07-17",0,0
"2023-07-19",0,0
"2023-07-20",0,0
"2023-07-21",-0.460733375218036,-1.31361689097911
"2023-07-24",-0.414514680012523,-1.75681730914757
"2023-07-26",-0.174236980967457,-1.27965997186051
"2023-07-28",-0.898109255206403,-2.08916945071946
"2023-08-03",-2.55098960501492,-3.4499774379614
"2023-08-04",-2.75677441731356,-2.73878274298335
"2023-08-07",-1.92021840239965,-2.39510578933502
"2023-08-08",-2.21777025904569,-2.55342543596585
"2023-08-09",-1.56848855297481,-2.33245584286731
"2023-08-10",-1.63991019286575,-2.7877167917622
"2023-08-11",-2.14181739224569,-3.32867144626872
"2023-08-14",-2.51264640644812,-3.21135935581877
"2023-08-16",-2.07859141476688,-3.00787183921255
"2023-08-17",-1.94659267449057,-3.58266955161802
"2023-08-18",-2.44589140264345,-3.88214207638021
"2023-08-21",-1.86000102974165,-3.48636923546921
"2023-08-22",-1.71069676715367,-3.48053603760153
"2023-08-23",-1.78123640245204,-3.16492149531663
"2023-08-24",-1.90174796533931,-3.43272308390836
"2023-08-25",-2.34756675424092,-3.97411566618273
"2023-08-28",-2.06735661677806,-3.81118901943419
"2023-08-29",-1.8134025235411,-3.69395575598245
"2023-08-30",-1.67800455999217,-3.67704298558833
"2023-08-31",-2.05423938575704,-4.05565781655521
"2023-09-01",-1.0327447500311,-3.2332031928788
"2023-09-04",-0.957017673571869,-2.87657233585766
"2023-09-05",-0.541367276871707,-2.65145118751997
"2023-09-06",-0.169491905808605,-2.50307250121919
"2023-09-07",-0.0343916051616988,-1.93324964825642
"2023-09-08",0,-1.43993277633593
"2023-09-11",0,-0.658284262067199
"2023-09-12",0,-0.519093300335771
"2023-09-13",0,-0.155245393700565
"2023-09-14",0,-0.0782839677797353
"2023-09-15",0,0
"2023-09-18",0,-0.356423802950812
"2023-09-20",-0.464321434759962,-1.52979137669882
"2023-09-21",-1.60730422932084,-2.3709096759008
"2023-09-22",-1.50888911366205,-2.69681651733596
"2023-09-25",-1.41862102323884,-2.67539008580867
"2023-09-26",-1.50426995886307,-2.79068801702389
"2023-09-27",-1.48045766834437,-2.53535055857905
"2023-09-28",-2.67359720051935,-3.43508620038355
"2023-09-29",-1.9788319702601,-2.96325105269558
"2023-10-03",-2.15196781788205,-3.42951148957494
"2023-10-04",-3.2778726702454,-3.8511916882196
"2023-10-05",-2.69109120307223,-3.25340646237227
"2023-10-06",-1.37535278298041,-2.71674240072696
"2023-10-09",-2.30571835370472,-3.42908400783845
"2023-10-10",-1.4573446659738,-2.59332231651829
"2023-10-11",-0.976392160946216,-2.01299404893078
"2023-10-12",-0.867982975853587,-2.1083050279355
"2023-10-13",-0.690273453650125,-2.29351803336068
"2023-10-16",-0.783226378963264,-2.46424028033031
"2023-10-17",-0.370968364091773,-2.07926244220491
"2023-10-18",-0.837402392601594,-2.89158243095429
"2023-10-19",-1.02114699495823,-3.25683504038132
"2023-10-20",-1.47899913681566,-3.59826208608645
"2023-10-23",-2.66039736215026,-4.81547707223516
"2023-10-25",-3.08731748007809,-5.58616557431997
"2023-10-26",-5.00649132332103,-6.91417684727508
"2023-10-27",-4.09969140269428,-5.97864615312674
"2023-10-30",-4.10811256356611,-5.49242493638811
"2023-10-31",-4.35108429033147,-5.84284654679381
"2023-11-01",-4.46070374311154,-6.26089751273677
"2023-11-02",-3.59596556428553,-5.539229824476
"2023-11-03",-3.25471161940593,-5.12223447669867
"2023-11-06",-2.59535206998407,-4.24528622868459
"2023-11-07",-2.21725722594003,-4.26930372298207
"2023-11-08",-1.91787457980233,-4.22034397797754
